number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,-0.5,2025-08-04 16:22:22.045956,2025-08-04 16:22:22.065014,0 days 00:00:00.019058,0.4749245495988539,7,0.579513307593251,0.2057257173473766,60,83,3.777753199307062,8.238346221729362,COMPLETE
1,-0.5,2025-08-04 16:22:22.066879,2025-08-04 16:22:22.078078,0 days 00:00:00.011199,0.5250349033079843,1,0.41149506605816705,0.27683551991003547,55,84,6.784728694102606,5.076592937270491,COMPLETE
2,-0.5,2025-08-04 16:22:22.079879,2025-08-04 16:22:22.094615,0 days 00:00:00.014736,0.8892335753102518,2,0.8853824127611418,0.2597503846086837,22,254,2.9165881041763333,6.988896454614836,COMPLETE
3,-0.5,2025-08-04 16:22:22.096439,2025-08-04 16:22:22.106861,0 days 00:00:00.010422,0.8466015100023404,6,0.8659381697457067,0.2371706726808695,47,104,1.8983785444699364,4.79229957801827,COMPLETE
4,-0.5,2025-08-04 16:22:22.108073,2025-08-04 16:22:22.122765,0 days 00:00:00.014692,0.8367097481658031,7,0.8449125245076274,0.281396266827257,26,187,0.1940131374026144,2.931141541797364,COMPLETE
5,-0.5,2025-08-04 16:22:22.124031,2025-08-04 16:22:22.135603,0 days 00:00:00.011572,0.9529107895673735,2,0.5476584265705695,0.019445587059997875,97,293,6.805726720799291,2.0546178329534417,COMPLETE
6,-1.0,2025-08-04 16:22:22.136513,2025-08-04 16:22:22.180447,0 days 00:00:00.043934,0.8194854501335589,7,0.5509400971280771,0.25093226316933037,8,114,2.2325350525837995,1.0309772952424667,COMPLETE
7,-0.5,2025-08-04 16:22:22.181830,2025-08-04 16:22:22.226199,0 days 00:00:00.044369,0.7691541718244217,6,0.7012455285686132,0.298816484877619,95,247,4.698609738277852,5.822334869419105,COMPLETE
8,-0.5,2025-08-04 16:22:22.227474,2025-08-04 16:22:22.239195,0 days 00:00:00.011721,0.8638283385967626,5,0.8202132120811936,0.22914312030458409,60,266,3.9481422170209237,8.61889729675585,COMPLETE
9,-0.5,2025-08-04 16:22:22.240406,2025-08-04 16:22:22.250308,0 days 00:00:00.009902,0.914039838464756,1,0.7899739153139387,0.13746322701597896,69,204,9.057369832575082,7.355309770194792,COMPLETE
10,-1.0,2025-08-04 16:22:22.251942,2025-08-04 16:22:22.307648,0 days 00:00:00.055706,0.6176167951483252,4,0.9888689278324103,0.15196744291514183,5,27,0.031642751563789595,0.5603738594544225,COMPLETE
11,-0.4117647058823529,2025-08-04 16:22:22.308870,2025-08-04 16:22:22.349948,0 days 00:00:00.041078,0.6152852675732744,4,0.9722166197562486,0.1443183964163773,6,12,0.0247707785113587,0.10110243859144097,COMPLETE
12,-1.0,2025-08-04 16:22:22.351210,2025-08-04 16:22:22.427828,0 days 00:00:00.076618,0.6714263981001477,4,0.5663920149486311,0.08665507892637338,8,13,1.5527449490951561,0.08927560448560445,COMPLETE
13,-0.5,2025-08-04 16:22:22.430169,2025-08-04 16:22:22.475585,0 days 00:00:00.045416,0.5916292919931256,3,0.41660789382164326,0.17191095227515482,27,125,1.4820119443567052,2.1215148331395213,COMPLETE
14,-0.5,2025-08-04 16:22:22.477358,2025-08-04 16:22:22.522069,0 days 00:00:00.044711,0.7376876498596017,5,0.6758476872256908,0.09518082350795701,40,61,2.4835870862939844,3.260153005784008,COMPLETE
15,-0.5,2025-08-04 16:22:22.523438,2025-08-04 16:22:22.573763,0 days 00:00:00.050325,0.6810480267702612,5,0.9719750535321454,0.18737934805349776,14,144,0.6132353684843662,1.1675193856696682,COMPLETE
16,-0.5,2025-08-04 16:22:22.575356,2025-08-04 16:22:22.619793,0 days 00:00:00.044437,0.4024199670514464,3,0.5046191812336487,0.10226790112763304,38,47,5.751787103004941,4.033375814264752,COMPLETE
17,-0.5,2025-08-04 16:22:22.621035,2025-08-04 16:22:22.669050,0 days 00:00:00.048015,0.7839761375091531,6,0.6796675156323237,0.05120697119622675,16,174,9.930102569815492,1.2373604616018359,COMPLETE
18,-0.5,2025-08-04 16:22:22.671532,2025-08-04 16:22:22.714132,0 days 00:00:00.042600,0.988936305811471,3,0.763143981816299,0.12793483865079136,83,48,3.2050259399510015,1.1619236114714946,COMPLETE
19,-0.5,2025-08-04 16:22:22.715311,2025-08-04 16:22:22.767265,0 days 00:00:00.051954,0.6269354972883636,4,0.6168279738445105,0.2162117696975311,37,128,1.1150364582279,9.871576633318245,COMPLETE
20,-1.0,2025-08-04 16:22:22.768481,2025-08-04 16:22:22.866996,0 days 00:00:00.098515,0.5330374356266373,7,0.48266812146781757,0.17976818932091265,5,220,2.1655430110246634,2.5884540580986544,COMPLETE
21,-1.0,2025-08-04 16:22:22.868498,2025-08-04 16:22:22.937927,0 days 00:00:00.069429,0.7132152632727975,4,0.6154387554810995,0.07664014003213572,5,29,1.2686202252453747,0.03381450523619489,COMPLETE
22,-0.5,2025-08-04 16:22:22.939482,2025-08-04 16:22:22.986788,0 days 00:00:00.047306,0.6829421903618804,4,0.48819944869421805,0.12207288535596142,16,11,1.191179113137797,0.5489393732414366,COMPLETE
23,-0.5,2025-08-04 16:22:22.988089,2025-08-04 16:22:23.061294,0 days 00:00:00.073205,0.7912296122949822,5,0.5447037935938149,0.05927890855667288,29,78,0.024148638872425764,1.5539081113326336,COMPLETE
24,-0.5,2025-08-04 16:22:23.062401,2025-08-04 16:22:23.109015,0 days 00:00:00.046614,0.6552794287199645,3,0.7433648529446251,0.16253191364001823,14,36,2.358689477506637,3.69184193904903,COMPLETE
25,-0.5,2025-08-04 16:22:23.110212,2025-08-04 16:22:23.154820,0 days 00:00:00.044608,0.550944885184107,2,0.9144799525399737,0.02065029840155555,11,66,3.4949799073485623,0.6238966953330827,COMPLETE
26,-0.5,2025-08-04 16:22:23.156244,2025-08-04 16:22:23.205679,0 days 00:00:00.049435,0.7538930137493852,5,0.6292444395897295,0.10766654203676368,21,100,4.727580391581622,1.6999138583801763,COMPLETE
27,-0.5,2025-08-04 16:22:23.206818,2025-08-04 16:22:23.268094,0 days 00:00:00.061276,0.8195180936034234,4,0.57277367449878,0.19612203832553016,31,25,0.8212846331014343,0.618553211842662,COMPLETE
