index_x,Student ID,Risk Group,Risk Score,Risk Prediction,Feature,Magnitude,Rank
0,YQ8JKB8T,0 to 4 years enrolled,0.33339437715548276,0,1.75 < years_enrolled <= 2.42,0.2344933257460882,1
0,YQ8JKB8T,0 to 4 years enrolled,0.33339437715548276,0,IR_total_fa_awd_amt_sum > 0.00,0.0617953377070679,2
0,YQ8JKB8T,0 to 4 years enrolled,0.33339437715548276,0,has_any_financial_aid=1,0.05649026036299767,3
0,YQ8JKB8T,0 to 4 years enrolled,0.33339437715548276,0,IR_total_grants_nb_awd_amt_sum > 0.00,0.04581203973871555,4
0,YQ8JKB8T,0 to 4 years enrolled,0.33339437715548276,0,0.75 < course_pass_rate <= 0.86,0.0330832113833404,5
1,N0K6LK4Q,0 to 4 years enrolled,0.7261891467528636,1,course_pass_rate <= 0.75,0.1544480278940487,1
1,N0K6LK4Q,0 to 4 years enrolled,0.7261891467528636,1,is_justice_academy=0,0.07760999686271988,2
1,N0K6LK4Q,0 to 4 years enrolled,0.7261891467528636,1,has_associates_degree=0,0.0734958894619536,3
1,N0K6LK4Q,0 to 4 years enrolled,0.7261891467528636,1,2.42 < years_enrolled <= 3.42,0.06600234721029623,4
1,N0K6LK4Q,0 to 4 years enrolled,0.7261891467528636,1,Credits+Hours Semester Completed Perf SUM <= 62.00,0.040062298628202424,5
2,XA329105,4 to 6 years enrolled,0.9812182033640463,1,years_enrolled > 3.42,0.5553218310480268,1
2,XA329105,4 to 6 years enrolled,0.9812182033640463,1,course_pass_rate <= 0.75,0.14790004838526108,2
2,XA329105,4 to 6 years enrolled,0.9812182033640463,1,has_associates_degree=0,0.07725577601263267,3
2,XA329105,4 to 6 years enrolled,0.9812182033640463,1,is_justice_academy=0,0.07495968060811507,4
2,XA329105,4 to 6 years enrolled,0.9812182033640463,1,stdev_credits_sem <= 2.83,0.030038605710403177,5
3,5BC8WQBB,6+ years enrolled,0.9924121205929158,1,years_enrolled > 3.42,0.5591330734639071,1
3,5BC8WQBB,6+ years enrolled,0.9924121205929158,1,is_justice_academy=0,0.07667595152926024,2
3,5BC8WQBB,6+ years enrolled,0.9924121205929158,1,has_associates_degree=0,0.07276733580232304,3
3,5BC8WQBB,6+ years enrolled,0.9924121205929158,1,1.59 < GPA_last_sem <= 2.70,0.03133529182899989,4
