UNIQUE_ID,Term,College ID,Age,CAS CAA English SUM 1,CAS CAA Foreign Language 1 SUM 1,CAS CAA Foreign Language 2 SUM 1,CAS CAA Math SUM 1,CAS CAA Performing Arts SUM 1,CAS CAA Science SUM 1,CAS CAA Social Studies SUM 1,CAS College Admissions Avg (CAA) SUM 1,CAS HS  Units English SUM 1,CAS HS Units Foreign Language 1 SUM 1,CAS HS Units Foreign Language 2 SUM 1,CAS HS Units Math SUM 1,CAS HS Units Performing Arts SUM 1,CAS HS Units Science SUM 1,CAS HS Units Social Studies SUM 1,CAS HS Units Total SUM 1,CAS Regents American History,CAS Regents Biology,CAS Regents Chemistry,CAS Regents Common Core Alg1,CAS Regents Common Core Alg2,CAS Regents Common Core Geometry,CAS Regents Earth Science,CAS Regents English,CAS Regents English New,CAS Regents Geometry,CAS Regents Global History,CAS Regents Integ Alg,CAS Regents Marine Science,CAS Regents Math A,CAS Regents Math B,CAS Regents Math Sequential 1,CAS Regents Math Sequential 2,CAS Regents Math Sequential 3,CAS Regents Physics,CAS Regents Trigonometry,CAS SAT Math,CAS SAT Total,CAS SAT Verbal,CAS SAT Writing,CS Total Income Amt SUM,College Program Title,Credits Cumulative Earned Local Perf,Credits Cumulative Earned Local Show,Credits Cumulative Earned Other Perf,Credits Cumulative Earned Other Show,Credits Cumulative Earned Total Perf,Credits Cumulative Earned Total Show,Credits Cumulative Earned Transfer Perf,Credits Cumulative Earned Transfer Show,Credits Semester Included in GPA Perf SUM,Credits+Hours Semester All Courses Show SUM,Credits+Hours Semester Completed Perf SUM,Credits+Hours Semester Passed Perf SUM,Cs Fed Efc Amt SUM,Cs Fed Need Base Aid Amt SUM,Cs Fed Unmet Need Amt SUM,Degree Earned Level Desc,Degree Pursued Level Desc,Ethnicity Imputed Group 2 Desc,Exit Math CUNY Test Final Score,Exit Reading CUNY Test Final Score,Exit Writing CUNY Test Final Score,File Name,Full Part Type Desc,GPA Cumulative Perf,GPA Cumulative Show,GPA Semester Perf,Gender Desc,Headcount SUM,Headcount SUM 1,IR Total FA Awd Amt SUM,Initial All SKAT Passed Desc,Initial Math CUNY Test Final Score,Initial Reading ACT Test Final Score,Initial Writing CUNY Test Final Score,Ir Fed Work Study Nb Awd Amt SUM,Ir Student Loans Nb Awd Amt SUM,Ir Total Grants Nb Awd Amt SUM,Major 1 College Program Title,Major 1 NYSED Award 1 Desc,Major 1 NYSED Award 2 Desc,Major 1 NYSED Program Title,NYSED Award Desc,NYSED Program Title,New Student Desc,PELL_AMT_AWD,Pell Flag,SEEK CD Desc,Semester Enrolled Desc,Semester Graduated Desc,TAP Flag,TAP_AMT_AWD,Value Points Semester Perf SUM,Year Enrolled,Year Graduated
86895291462,2011-12-24,3432,23,,2.0,,1.0,4.0,,17.0,60.0,3.0,1.0,1.0,,,4.0,,,73.0,,,,100.0,97.0,71.0,,,8.0,38.0,,74.0,24.0,33.0,81.0,98.0,8.0,,,229.0,1544.0,728.0,,19765,OFFICE AUTOMATION P,2.05,3.05,1.59,2.84,3.76,3.66,1.16,1.66,0.36,40.0,,45.0,2676,1273,1651,,Bachelor's,Other,33,27,50,three.mp3,PART-TIME,3.67,2.49,2.87,Other,3,1,3934,Exempt/Passed All,73,1,20,53,4775,15559,DRAFT & DSGN TECH,,MPA,MEDIA AND COMMUNICATION SCI & DISORDERS,BFA,"LAW, POLICE SCIENCE, AND CRIMINAL JUSTIC",No,1119,No,,Full-Time,Not Graduated,No,3623,1.28,2011,
329172972397,2011-12-24,8776,19,,11.0,,,18.0,,42.0,34.0,,,,4.0,,4.0,,,8.0,52.0,,,43.0,,,,2.0,,37.0,37.0,,1.0,,62.0,17.0,54.0,44.0,12.0,295.0,,,,47324,LIBERAL ARTS-HIST O,2.62,1.6,1.57,1.61,0.31,2.33,0.11,3.68,2.57,43.0,62.0,,4401,1464,42,,Bachelor's,Hispanic,95,22,66,senior.mp3,PART-TIME,2.5,3.55,3.59,Female,5,4,7364,Exempt/Passed All,33,36,15,1918,4892,3347,MICROCOMP SYS/APPL,BA,MPA,EDUCATION ASSOCIATE,BFA,LIB ARTS: SOCIAL SCIENCES & HUMANITIES,Yes,3871,No,Regular,Part-Time,Graduated,Yes,2553,3.55,2017,
394857957933,2011-12-24,2821,20,44.0,,,49.0,87.0,22.0,96.0,19.0,,,1.0,2.0,,4.0,,4.0,,,,96.0,57.0,,63.0,,,43.0,77.0,,48.0,,,64.0,,,69.0,,,,,403.0,37656,AUTO TEHNOLOGY,1.05,1.52,2.33,2.47,2.95,3.41,1.99,1.12,2.36,,49.0,,2095,1594,1180,,Bachelor's,Other,57,58,61,perhaps.mov,FULL-TIME,3.82,3.16,3.92,Male,1,5,5974,Exempt/Passed All,39,13,34,886,12417,9581,NURSING---- MAJOR,UNKNOWN,MS,ENVIRONMENTAL HEALTH SCIENCE,BE,STUDIO ART (24 CREDIT MAJOR),No,3921,Yes,CD Bilingual,Part-Time,Not Graduated,No,1884,1.06,2012,
918819678702,2011-12-24,3450,28,31.0,16.0,,,89.0,,13.0,82.0,,1.0,,4.0,1.0,,,,,,,,28.0,27.0,,85.0,,73.0,,,38.0,,,,51.0,,17.0,,734.0,,640.0,,26019,PROG AND SYSTEMS,2.68,2.66,2.18,2.49,1.59,1.27,2.57,3.15,2.84,,47.0,,1120,1954,1163,,Associate,Hispanic,71,76,47,blue.png,PART-TIME,2.63,2.97,3.91,Female,2,3,7809,Exempt/Passed All,33,4,90,1164,3119,19805,HUMAN SERVICES: MEN,BSED,MS,ACCOUNTANCY,,COMPUTER TECHNOLOGY,No,3141,No,CD Prong I,Full-Time,Not Graduated,Yes,4319,1.67,2014,
287596253067,2011-12-24,8087,20,63.0,,,,,55.0,41.0,13.0,,1.0,1.0,1.0,,1.0,1.0,,,39.0,,83.0,,,,65.0,12.0,18.0,,,,,43.0,83.0,,,12.0,97.0,,,502.0,,12029,BUSINESS ADMINSTRAT,1.48,0.52,2.73,1.65,2.55,2.73,1.01,3.03,0.08,,,,1917,2743,334,,Bachelor's,Hispanic,20,57,47,result.xlsx,PART-TIME,2.25,3.55,3.02,Male,3,3,3332,Exempt/Passed All,16,12,84,1884,4996,8040,EARLY CHILDHOOD/CHI,,,BUSINESS,BE,CRIMINAL JUSTICE,No,2535,No,CD Bilingual,Part-Time,Not Graduated,No,2642,2.77,2013,
722636863421,2011-12-24,3676,26,,,91.0,,9.0,,,,,3.0,3.0,4.0,,1.0,,,62.0,95.0,25.0,,,58.0,82.0,,15.0,,78.0,82.0,71.0,,42.0,52.0,,,,95.0,,1212.0,662.0,,37036,HUMANITIES JUSTICE,1.17,1.45,3.22,3.17,1.81,3.87,2.9,0.08,3.6,,,,2888,3071,828,,Associate,"White, Non-Hispanic",63,22,41,baby.mov,FULL-TIME,3.62,3.67,2.55,Other,4,4,6394,Exempt/Passed All,4,33,27,1154,9616,44,FORENSIC SCIENCE BR,BPS,MA,OFFICE ADMINISTRATION AND TECHNOLOGY,BA,COMPUTER ENGINEERING TECHNOLOGY,Yes,1105,No,CD Prong I,Full-Time,Not Graduated,Yes,2501,1.66,2011,
824072265163,2011-12-24,7147,26,57.0,43.0,97.0,,26.0,13.0,23.0,,,1.0,,4.0,3.0,1.0,,4.0,,100.0,,,,,23.0,9.0,71.0,83.0,30.0,99.0,40.0,14.0,80.0,76.0,46.0,,66.0,86.0,283.0,,,,22584,PHILOSOPHY AA,3.47,0.69,0.39,0.8,3.19,2.14,2.94,2.84,2.47,100.0,93.0,72.0,1012,3223,731,,Associate,Asian,90,35,53,price.csv,PART-TIME,2.61,3.84,2.18,Female,4,2,6562,Not Exempt/Passed All,67,12,63,549,958,18667,UNDECLARED HEALTH N,AA,UNKNOWN,PRE-PHYSICAL THERAPY,BS,LIBERAL ARTS,Yes,3061,No,Regular,Full-Time,Graduated,Yes,1101,3.66,2018,
541954610218,2011-12-24,2736,18,,,95.0,,,,84.0,,,,,,1.0,,3.0,2.0,,33.0,,,56.0,79.0,,71.0,,27.0,,71.0,,52.0,,,,,,29.0,,,,,12482,MICROCOMP SYS/APPL,3.27,2.34,2.31,2.79,2.2,3.82,2.5,3.03,1.79,,,67.0,2404,1518,469,,Associate,Hispanic,79,35,3,what.xlsx,PART-TIME,3.03,3.81,2.85,Male,3,1,6235,Not Exempt/Passed All,58,1,54,1002,8907,7845,STUDIO ART 24CR BA,BPS,,INTERDISCIP LIB ARTS & SCI (WORKER ED),BA,GERONTOLOGICAL STUDIES AND SERVICES,No,3609,No,CD Prong I,Full-Time,Not Graduated,Yes,3590,3.79,2019,
426750757990,2011-12-24,4514,19,79.0,3.0,2.0,,,4.0,,,,,2.0,,1.0,3.0,,3.0,16.0,77.0,,25.0,,30.0,4.0,,,,22.0,23.0,87.0,4.0,38.0,,22.0,14.0,74.0,75.0,,,,267.0,28007,COMMUNICATION STUDI,0.81,2.18,3.26,2.84,3.02,2.99,1.41,3.95,0.27,,,,4369,3305,656,,Bachelor's,"Black, Non-Hispanic",9,90,29,major.webm,PART-TIME,2.23,2.74,2.28,Other,3,2,3658,Exempt/Passed All,46,25,32,143,11451,18569,BUS ADMINISTRATION,BS NURS,UNKNOWN,"SPANISH ""7-12""",B TECH,COMPUTER OPERATIONS,No,2535,Yes,Regular,Part-Time,Not Graduated,Yes,3905,3.55,2016,
333917602510,2011-12-24,4711,27,,12.0,,51.0,,35.0,71.0,,3.0,1.0,1.0,,,3.0,,4.0,,,53.0,27.0,41.0,,,76.0,45.0,15.0,82.0,75.0,,,,,82.0,,,,,982.0,549.0,,12768,CRIMINAL JUSTICE,0.81,2.91,3.67,2.63,0.31,1.65,3.35,1.12,2.51,28.0,35.0,35.0,4870,2891,1515,,Associate,Other,70,70,37,approach.mov,PART-TIME,2.37,2.1,2.01,Other,1,3,6073,Not Exempt/Passed All,32,13,17,1420,9139,10605,THEATER AS,BFA,AAS,STUDIO ART (42 CREDIT MAJOR),BS,COMMUNITY HEALTH,No,2213,No,CD Prong I,Full-Time,Graduated,No,1030,0.91,2012,
