Student_ID,Semester,Enrollment_Type,Degree_Type_Pursued,Intent_To_Transfer_Flag,Pell_Recipient,Major,Department,Cumulative_GPA,Semester_GPA,Number_Of_Courses_Enrolled,Number_Of_Credits_Attempted,Number_Of_Credits_Failed,Number_Of_Credits_Earned,Course_Pass_Rate,Online_Course_Rate
33966,2019FA,PT,Associate of General Studies,Y,,Graphic Design,,2.32,3.68,9,18,10,8,0.62,0.58
48112,2019SP,PT,Associate of Arts,Y,Y,Agriculture Associate of Arts,,1.58,0.98,0,0,0,0,1.0,0.9
59534,2021FA,FT,Certificate,N,,Business Administration,,0.63,3.17,3,20,14,6,0.18,0.16
20539,2019SP,FT,Certificate,Y,,Construction Technician,,0.59,2.67,9,28,22,6,0.51,0.91
73070,2020FA,FT,Certificate,Y,,Computer Science,,0.68,0.75,5,24,2,22,0.2,0.45
30275,2020FA,PT,Associate of Business,Y,Y,Business Administration,,2.52,3.95,0,0,0,0,0.27,0.39
70496,2019FA,PT,Associate of Business,Y,,Nursing,,3.67,3.57,9,12,9,3,0.08,0.81
16441,2020SP,FT,Non-Academic,Y,,Business Administration,,3.25,1.45,1,29,11,18,0.58,0.01
12617,2020FA,FT,Associate of Arts,Y,Y,Construction Technician,,0.34,2.42,3,7,6,1,0.64,0.71
91052,2021FA,PT,Associate of Applied Science,N,,Agriculture Associate of Arts,,3.69,3.12,3,21,20,1,0.3,0.43
66378,2018SP,FT,Non-Academic,N,Y,Agriculture Associate of Arts,,1.91,3.36,8,22,17,5,0.87,0.18
75575,2020SP,PT,Certificate,N,,Agriculture Associate of Arts,,3.96,2.92,4,4,0,4,0.76,0.05
89740,2020FA,FT,Associate of Arts,Y,Y,Construction Technician,,2.75,0.63,0,0,0,0,0.47,0.17
31878,2020SP,FT,Non-Academic,N,Y,Agriculture Associate of Arts,,3.98,3.69,5,22,1,21,0.58,0.35
33262,2019FA,PT,Associate of General Studies,N,Y,Business Administration,,1.44,2.77,1,2,2,0,0.75,0.49
29502,2020FA,FT,Associate of Business,N,,Agriculture Associate of Arts,,2.3,3.81,4,20,6,14,0.17,0.25
19698,2020SP,PT,Associate of Science,N,,Graphic Design,,2.14,1.73,3,24,15,9,0.43,0.31
55270,2020SP,PT,Associate of Applied Science,Y,Y,Agriculture Associate of Arts,,3.41,3.53,7,21,9,12,0.67,0.88
80268,2019FA,PT,Associate of General Studies,Y,,Custodian Studies Certificate,,2.45,1.79,10,17,6,11,0.42,0.62
43570,2019SP,FT,Associate of General Studies,Y,Y,Custodian Studies Certificate,,1.72,4.0,1,23,20,3,0.57,0.72
60757,2020FA,FT,Associate of Science,N,,Business Administration,,1.67,2.67,9,22,0,22,0.85,0.07
55080,2019FA,PT,Non-Academic,Y,,Business Administration,,1.58,0.74,4,30,10,20,0.83,0.64
97148,2021SP,FT,Associate of Business,N,Y,Nursing,,0.66,0.49,8,30,21,9,0.37,0.9
39209,2021FA,FT,Non-Academic,Y,Y,Graphic Design,,1.58,2.15,3,26,3,23,0.3,0.35
48183,2020SP,PT,Associate of Science,Y,Y,Computer Science,,3.49,1.54,3,7,4,3,0.52,0.92
94279,2018SP,PT,Non-Academic,N,Y,Custodian Studies Certificate,,3.26,1.16,1,8,6,2,0.22,0.5
