Student_ID,Semester,Course_Prefix,Course_Number,Course_Type,Pass/Fail_Flag,Grade,Prerequisite_Course_Flag,Online_Course_Flag,Number_Of_Credits_Attempted,Number_Of_Credits_Earned,Modality,Weeks
71959,2021SP,PSY,260,Undergraduate,Y,,,1,4,4.0,Face to Face,3
71959,2021SP,BIO,114,Undergraduate,Y,B,,0,2,2.0,Practicum,5
71959,2021SP,ENG,286,Undergraduate,Y,A,Y,1,4,4.0,Hybrid - F2F/Online,12
13534,2018FA,MAT,254,Undergraduate,N,,,0,3,3.0,Online,10
13534,2018FA,COM,264,Undergraduate,N,A,Y,0,1,,Online,11
13534,2018FA,COM,165,Undergraduate,N,C,Y,0,4,4.0,Online,13
13534,2018FA,CHE,175,Undergraduate,N,B,,1,2,2.0,Hybrid - F2F/Online,13
13534,2018FA,PSY,162,Undergraduate,Y,B,Y,1,1,,Independent Study,12
13534,2018FA,HIS,225,Undergraduate,Y,A,Y,0,3,3.0,Face to Face,12
13534,2018FA,MAT,153,Undergraduate,Y,B,,0,1,,Independent Study,1
13534,2018SP,CHE,236,Undergraduate,N,D,Y,0,1,,Practicum,14
13534,2018SP,MAT,165,Undergraduate,Y,F,,0,2,2.0,Practicum,2
13534,2018SP,COM,207,Undergraduate,N,D,Y,0,4,4.0,Independent Study,2
13534,2019FA,ENG,104,Undergraduate,N,D,,1,3,,Practicum,8
56628,2019FA,ENG,251,Undergraduate,Y,F,Y,1,1,,Independent Study,6
56628,2019FA,ENG,114,Undergraduate,Y,F,Y,1,3,3.0,Independent Study,1
56628,2019FA,CHE,261,Undergraduate,N,D,Y,1,4,,Online/Synch,11
56628,2019FA,PHY,163,Undergraduate,Y,F,Y,0,4,4.0,Practicum,10
56628,2019FA,COM,210,Undergraduate,Y,D,Y,1,2,,Practicum,8
56628,2019SP,ART,213,Undergraduate,N,F,Y,1,1,1.0,Independent Study,8
56628,2019SP,COM,204,Undergraduate,Y,A,Y,1,1,,Practicum,2
56628,2019SP,MAT,201,Undergraduate,N,B,,1,4,,Practicum,15
56628,2020FA,HIS,153,Undergraduate,N,B,,1,3,3.0,Practicum,7
56628,2020FA,COM,159,Undergraduate,Y,F,Y,0,3,,Independent Study,13
56628,2020FA,MAT,151,Undergraduate,N,B,Y,1,3,,Online/Synch,11
56628,2020SP,ENG,203,Undergraduate,Y,B,,1,4,,Practicum,9
56628,2020SP,HIS,229,Undergraduate,Y,A,Y,1,1,1.0,Face to Face,4
56628,2020SP,MUS,101,Undergraduate,Y,,Y,1,4,,Online,2
56628,2020SP,PHY,229,Undergraduate,N,A,Y,0,2,,Practicum,9
56628,2020SP,ART,175,Undergraduate,Y,B,Y,1,4,4.0,Online,8
72737,2020FA,PSY,143,Undergraduate,N,,Y,1,3,,Practicum,8
72737,2020FA,MAT,257,Undergraduate,N,,,0,4,,Hybrid - Online/iTV,11
72737,2020FA,COM,108,Undergraduate,Y,B,,0,3,3.0,Hybrid - Online/iTV,4
72737,2020FA,ENG,221,Undergraduate,N,,Y,1,3,3.0,Hybrid - Online/iTV,10
72737,2020FA,MUS,232,Undergraduate,Y,B,Y,1,1,,Practicum,14
72737,2019FA,COM,142,Undergraduate,Y,B,,1,2,2.0,Hybrid - Online/iTV,12
72737,2018FA,MAT,197,Undergraduate,N,B,,0,2,2.0,Hybrid - F2F/Online,14
72737,2018FA,ENG,214,Undergraduate,Y,C,,1,2,2.0,Independent Study,14
72737,2018FA,MUS,285,Undergraduate,Y,B,,0,2,2.0,Online/Synch,16
72737,2018FA,BIO,168,Undergraduate,Y,,Y,1,2,2.0,Independent Study,4
33073,2020FA,PHY,228,Undergraduate,Y,,Y,1,2,,Practicum,5
33073,2020FA,COM,282,Undergraduate,N,B,,1,3,,Hybrid - F2F/Online,3
33073,2018FA,BIO,151,Undergraduate,Y,A,Y,0,2,2.0,Hybrid - Online/iTV,4
33073,2018FA,HIS,222,Undergraduate,Y,A,Y,0,2,2.0,Practicum,7
33073,2018FA,ART,196,Undergraduate,Y,,,1,4,4.0,Online/Synch,12
33073,2018FA,PSY,291,Undergraduate,Y,A,,0,4,,Online,4
33073,2018FA,BIO,238,Undergraduate,N,B,,0,2,2.0,Independent Study,8
33073,2018SP,PSY,112,Undergraduate,N,A,Y,0,4,4.0,Face to Face,6
33073,2018SP,BIO,187,Undergraduate,N,D,,0,2,2.0,Independent Study,10
33073,2018SP,MAT,173,Undergraduate,N,F,,1,2,2.0,Face to Face,4
33073,2018SP,ENG,216,Undergraduate,Y,,,0,2,2.0,Face to Face,10
33073,2021SP,ENG,135,Undergraduate,Y,F,Y,0,3,,Practicum,14
48733,2021SP,HIS,162,Undergraduate,Y,A,,0,2,2.0,Practicum,8
48733,2021FA,MUS,149,Undergraduate,N,,,1,4,4.0,Independent Study,7
48733,2021FA,BIO,267,Undergraduate,Y,,Y,1,4,,Practicum,8
48733,2021FA,MUS,247,Undergraduate,Y,B,Y,1,1,,Independent Study,13
48733,2021FA,CHE,267,Undergraduate,N,D,,1,4,,Online/Synch,10
48733,2021FA,BIO,150,Undergraduate,N,B,Y,1,2,2.0,Hybrid - Online/iTV,4
48733,2020SP,BIO,133,Undergraduate,Y,F,,1,2,,Face to Face,7
48733,2020SP,ENG,290,Undergraduate,N,A,,1,2,2.0,Independent Study,1
48733,2020SP,COM,211,Undergraduate,Y,C,,0,2,2.0,Online,8
48733,2019FA,COM,293,Undergraduate,N,C,Y,0,4,4.0,Independent Study,4
48733,2019FA,HIS,249,Undergraduate,Y,,Y,0,2,,Hybrid - F2F/Online,16
48733,2019FA,BIO,162,Undergraduate,N,A,,0,2,,Hybrid - Online/iTV,10
88003,2019SP,ART,197,Undergraduate,Y,,Y,0,3,,Hybrid - Online/iTV,10
88003,2019SP,PHY,152,Undergraduate,N,D,Y,0,3,,Hybrid - Online/iTV,11
88003,2019SP,HIS,105,Undergraduate,N,F,,1,3,,Hybrid - Online/iTV,14
88003,2019SP,BIO,227,Undergraduate,N,F,Y,0,3,,Online/Synch,9
88003,2019SP,ART,198,Undergraduate,N,A,,0,1,,Online,6
80308,2019SP,MAT,280,Undergraduate,N,F,Y,0,2,2.0,Hybrid - Online/iTV,13
80308,2019FA,MAT,201,Undergraduate,N,F,Y,0,1,1.0,Practicum,10
80308,2019SP,COM,274,Undergraduate,N,F,,0,1,,Hybrid - Online/iTV,12
80308,2019SP,ART,286,Undergraduate,N,C,Y,1,3,,Hybrid - Online/iTV,8
80308,2019SP,PSY,280,Undergraduate,N,D,Y,1,3,3.0,Face to Face,3
80308,2019SP,COM,282,Undergraduate,N,B,Y,1,3,3.0,Hybrid - Online/iTV,15
80308,2019SP,MAT,160,Undergraduate,N,A,,0,3,,Online/Synch,5
80308,2021SP,COM,109,Undergraduate,N,F,,0,1,1.0,Practicum,5
36011,2021SP,MAT,261,Undergraduate,N,B,Y,0,4,4.0,Online/Synch,8
36011,2021SP,PSY,148,Undergraduate,N,A,Y,1,2,2.0,Hybrid - F2F/Online,10
36011,2019SP,PSY,246,Undergraduate,Y,F,,1,1,1.0,Hybrid - F2F/Online,5
36011,2019SP,ENG,136,Undergraduate,Y,A,,1,1,1.0,Independent Study,14
36011,2019SP,ENG,154,Undergraduate,Y,F,Y,1,4,,Online,13
36011,2020SP,MUS,271,Undergraduate,Y,D,Y,1,1,1.0,Hybrid - Online/iTV,12
36011,2020SP,BIO,221,Undergraduate,N,D,Y,0,1,,Hybrid - Online/iTV,14
36011,2020SP,PHY,167,Undergraduate,Y,C,Y,0,4,4.0,Online,3
36011,2020SP,MAT,169,Undergraduate,N,F,Y,1,3,,Face to Face,14
36011,2020SP,MAT,131,Undergraduate,N,F,,0,4,4.0,Face to Face,10
97556,2020SP,BIO,209,Undergraduate,N,,,0,2,2.0,Practicum,16
97556,2020SP,HIS,112,Undergraduate,Y,A,,1,4,,Hybrid - Online/iTV,5
97556,2020SP,HIS,276,Undergraduate,N,C,Y,1,1,,Hybrid - F2F/Online,9
97556,2020SP,MUS,142,Undergraduate,Y,D,Y,0,4,,Online,14
97556,2020SP,HIS,144,Undergraduate,Y,D,,1,3,,Hybrid - F2F/Online,7
97556,2018FA,COM,264,Undergraduate,N,D,,1,4,,Online,11
