Student_ID,Semester,Enrollment_Type,Degree_Type_Pursued,Intent_To_Transfer_Flag,Pell_Recipient,Major,Department,Cumulative_GPA,Semester_GPA,Number_Of_Courses_Enrolled,Number_Of_Credits_Attempted,Number_Of_Credits_Failed,Number_Of_Credits_Earned,Course_Pass_Rate,Online_Course_Rate
71959,2021SP,PT,Non-Academic,Y,,Construction Technician,,0.1,1.78,3,14,13,1,0.36,0.94
13534,2018FA,PT,Associate of General Studies,N,Y,Graphic Design,,3.77,3.55,2,22,12,10,0.84,0.43
13534,2018FA,PT,Associate of Applied Science,Y,Y,Business Administration,,2.85,2.11,5,28,9,19,0.24,0.8
13534,2018SP,FT,Certificate,N,,Business Administration,,3.16,3.18,3,21,11,10,0.42,0.74
13534,2019FA,FT,Associate of Applied Science,N,Y,Business Administration,,3.42,2.94,1,20,8,12,0.62,0.7
56628,2019FA,PT,Associate of General Studies,N,,Agriculture Associate of Arts,,3.94,1.86,5,28,26,2,0.46,0.17
56628,2019SP,FT,Associate of Arts,Y,,Nursing,,1.38,2.23,3,19,12,7,0.85,0.64
56628,2020FA,FT,Associate of Science,N,Y,Graphic Design,,0.02,1.19,3,10,9,1,0.9,0.48
56628,2020SP,FT,Associate of Applied Science,N,Y,Graphic Design,,1.93,0.55,5,17,3,14,0.71,0.78
72737,2020FA,PT,Non-Academic,Y,,Business Administration,,0.65,0.15,5,8,0,8,0.86,0.99
72737,2019FA,FT,Associate of Science,Y,,Graphic Design,,3.68,0.66,1,23,4,19,0.71,0.95
72737,2018FA,PT,Certificate,N,,Computer Science,,3.31,3.22,4,15,1,14,0.9,0.78
33073,2020FA,FT,Non-Academic,N,Y,Computer Science,,3.69,3.42,2,8,7,1,0.06,0.88
33073,2018FA,FT,Associate of Science,N,,Custodian Studies Certificate,,1.56,2.3,5,26,23,3,0.3,0.33
33073,2018SP,FT,Associate of Arts,Y,Y,Agriculture Associate of Arts,,2.59,2.96,4,26,9,17,0.61,0.7
33073,2021SP,FT,Associate of Arts,Y,Y,Construction Technician,,1.3,3.75,1,6,5,1,0.28,0.82
48733,2021SP,PT,Associate of Arts,Y,Y,Custodian Studies Certificate,,3.43,1.68,1,26,3,23,0.17,0.51
48733,2021FA,PT,Associate of General Studies,Y,,Computer Science,,3.39,0.79,5,11,1,10,0.77,0.37
48733,2020SP,FT,Non-Academic,Y,,Agriculture Associate of Arts,,1.52,3.48,3,27,3,24,0.11,0.86
48733,2019FA,FT,Associate of Business,N,Y,Computer Science,,2.84,3.13,3,6,2,4,0.96,0.5
88003,2019SP,FT,Associate of Applied Science,Y,Y,Construction Technician,,2.23,2.3,5,18,11,7,0.66,0.28
80308,2019SP,FT,Associate of Applied Science,N,Y,Custodian Studies Certificate,,3.97,3.22,1,21,5,16,0.15,0.36
80308,2019FA,FT,Associate of General Studies,Y,Y,Nursing,,2.26,2.33,1,20,11,9,0.09,0.27
80308,2019SP,FT,Associate of Arts,N,Y,Agriculture Associate of Arts,,1.62,0.42,5,18,9,9,0.66,0.94
80308,2021SP,PT,Associate of Applied Science,Y,,Business Administration,,2.02,1.71,1,13,4,9,0.86,0.95
36011,2021SP,PT,Associate of Science,Y,Y,Computer Science,,3.99,0.92,2,30,12,18,0.04,0.31
36011,2019SP,FT,Associate of Arts,Y,Y,Nursing,,1.48,3.84,3,10,8,2,0.2,0.15
36011,2020SP,PT,Associate of Applied Science,Y,Y,Construction Technician,,2.38,0.27,5,20,8,12,0.78,0.37
97556,2020SP,PT,Associate of General Studies,Y,,Nursing,,3.99,3.45,5,15,2,13,0.98,0.57
97556,2018FA,PT,Associate of Science,N,Y,Business Administration,,1.12,3.55,1,20,1,19,0.97,0.55
97556,2020SP,PT,Associate of General Studies,Y,Y,Construction Technician,,3.59,0.65,1,28,17,11,0.73,0.29
97556,2021FA,PT,Associate of Science,Y,,Nursing,,3.2,3.64,4,5,2,3,0.11,0.49
66483,2018FA,FT,Associate of Applied Science,Y,,Custodian Studies Certificate,,2.55,2.2,4,23,12,11,0.15,0.26
66483,2018SP,PT,Associate of Arts,Y,,Computer Science,,3.74,2.78,4,9,1,8,0.36,0.01
66483,2020SP,PT,Associate of Business,Y,,Graphic Design,,2.95,3.92,3,10,4,6,0.26,0.69
17927,2018SP,PT,Associate of Business,N,Y,Agriculture Associate of Arts,,2.24,2.02,3,8,7,1,0.86,0.54
94610,2019SP,FT,Non-Academic,Y,Y,Custodian Studies Certificate,,1.28,0.81,1,27,3,24,0.79,0.13
